tau,n_seeds,final_size,duration,speed,t_half,t_peak,peak_rate,t_double,avg_rate,strategy
0.2,1,0.004545454545454545,0.0,0.0,,0.0,0.0,,0.0,high
0.2,1,0.004545454545454545,0.0,0.0,,0.0,0.0,,0.0,low
0.2,1,0.005727272727272727,0.12,0.12,,0.08,0.16,1.0,0.12,random
0.2,3,0.013636363636363636,0.0,0.0,,0.0,0.0,,0.0,high
0.2,3,0.031818181818181815,1.0,3.999999999999999,,1.0,4.0,1.0,4.0,low
0.2,3,0.014272727272727275,0.06,0.08,,0.06,0.1,2.0,0.08,random
0.2,5,0.022727272727272728,0.0,0.0,,0.0,0.0,,0.0,high
0.2,5,0.031818181818181815,1.0,1.9999999999999991,,1.0,2.0,,2.0,low
0.2,5,0.026909090909090914,0.38,0.51,,0.3,0.64,1.8571428571428572,0.51,random
0.2,10,0.045454545454545456,0.0,0.0,,0.0,0.0,,0.0,high
0.2,10,0.045454545454545456,0.0,0.0,,0.0,0.0,,0.0,low
0.2,10,0.050181818181818175,0.42,0.5433333333333333,,0.32,0.68,,0.5433333333333333,random
0.2,15,0.06818181818181818,0.0,0.0,,0.0,0.0,,0.0,high
0.2,15,0.06818181818181818,0.0,0.0,,0.0,0.0,,0.0,low
0.2,15,0.07490909090909091,0.66,1.0066666666666668,,0.58,1.18,,1.0066666666666668,random
0.2,20,0.09545454545454546,1.0,1.0,,1.0,1.0,,1.0,high
0.2,20,0.2409090909090909,3.0,11.0,,2.0,20.0,2.0,11.0,low
0.2,20,0.13872727272727273,1.62,3.3109523809523806,,1.3,6.08,3.4444444444444446,3.3109523809523806,random
0.2,30,0.759090909090909,3.0,45.666666666666664,1.0,1.0,132.0,1.0,45.666666666666664,high
0.2,30,0.2409090909090909,1.0,23.0,,1.0,23.0,,23.0,low
0.2,30,0.26281818181818184,3.12,8.030571428571427,6.0,1.94,17.3,2.9615384615384617,8.030571428571427,random
0.2,50,0.759090909090909,2.0,58.5,1.0,1.0,114.0,1.0,58.5,high
0.2,50,0.2409090909090909,1.0,3.0,,1.0,3.0,,3.0,low
0.2,50,0.9964545454545454,2.98,62.80999999999999,1.1,1.1,148.64,1.08,62.80999999999999,random
0.2,75,0.759090909090909,2.0,46.0,1.0,1.0,89.0,1.0,46.0,high
0.2,75,0.3409090909090909,0.0,0.0,,0.0,0.0,,0.0,low
0.2,75,1.0,2.18,71.53333333333335,1.0,1.0,140.5,1.0,71.53333333333335,random
